"","ORIGEN","SECTOR","ENTIDAD_UM","SEXO","ENTIDAD_NAC","ENTIDAD_RES","MUNICIPIO_RES","TIPO_PACIENTE","FECHA_INGRESO","FECHA_SINTOMAS","FECHA_DEF","INTUBADO","NEUMONIA","EDAD","NACIONALIDAD","EMBARAZO","HABLA_LENGUA_INDIG","DIABETES","EPOC","ASMA","INMUSUPR","HIPERTENSION","OTRA_COM","CARDIOVASCULAR","OBESIDAD","RENAL_CRONICA","TABAQUISMO","OTRO_CASO","RESULTADO","MIGRANTE","PAIS_NACIONALIDAD","PAIS_ORIGEN","UCI"
"FECHA_DEF",-554.467238814231,-3026.80069914927,510.515345603657,323.803151271468,1346.36284297945,448.385829448453,1248.11485372788,1534.60520471468,-13115.4310811551,-14188.2881353417,94749912.128218,-146006.205568921,-1315.8429701288,39301.2950851222,-10.1607038488336,30611.4429624574,-1170.26322959112,504.591200674646,1093.34023912207,1179.73333859547,1105.52925466472,379.086503469037,1370.77970994069,1133.65868199571,1400.61189248469,988.032975399926,1135.75876051934,47771.2012808404,-1024.59297609436,564.832737759047,177.009418146191,92.3396314213695,-145879.97966114
"INTUBADO",4.33612710676497,29.9291340921482,-3.05609193129858,-2.06106928378543,-5.90176095165238,-4.00091553208089,-87.1986797445996,-17.0576545479904,65.6770005410007,69.3518759446075,-146006.205568921,1622.24987754782,9.81644966062581,-209.23154777492,0.0592601562055404,-194.758621994734,14.2892262944093,-3.40810852504089,-5.45928653977707,-6.34713602598146,-6.81933819253621,-2.78424312488579,-10.9865332165878,-6.45826880762433,-6.85667346440183,-5.52411811040503,-6.21998153624764,-393.578436115665,3.70859514710215,-3.53007817921981,-0.993072241723841,-0.766448866421734,1622.34929561695
"NEUMONIA",0.0317987841586267,0.130580626571969,0.0550552928888091,-0.0165659456031562,0.0134683554118048,0.0436329982099559,-0.553764120427302,-0.103214256969969,0.341280472243387,0.450198915239196,-1315.8429701288,9.81644966062581,0.365342524234582,-1.70360590841841,0.000524167035212392,-1.56739733585951,0.00257812658152172,-0.0194405567956894,-0.0409624938475833,-0.0469490635918986,-0.053435078090571,-0.0188482894120319,-0.100401787205686,-0.0486475427980139,-0.056503565600157,-0.0393218583051404,-0.0465018684009873,-1.56070491098177,0.0342919339987664,-0.027016846831506,-0.00877234969599907,-0.00546432686201137,9.81556156848776
"EDAD",-0.625325896500869,-7.18413326675658,1.39727353465269,0.296269981402196,3.11750524944216,1.45045764268319,5.516689586241,2.20142721917634,11.7204388168316,8.03874638030061,39301.2950851222,-209.23154777492,-1.70360590841841,283.391829070943,-0.0246909127410249,28.0365844242408,-4.16416486899673,0.383983481624448,1.56943590306736,2.03467928267183,2.08525428278384,-0.526942785083077,2.3863482365366,1.7812844843475,1.44018002351234,1.81734567798176,1.92663261084722,65.8155541731297,-1.15485266521642,1.54740054042294,0.341273811577965,0.326625265965064,-209.209035911061
"NACIONALIDAD",0.000597420360938407,0.01046484532374,-0.00114869206689347,0.000399356565865946,0.598462188439564,-0.00308929300520536,-0.0185728770543615,-0.000624574394607686,-0.11245863420309,-0.111965345774066,-10.1607038488336,0.0592601562055404,0.000524167035212392,-0.0246909127410249,0.00716445536034304,0.0371058258693817,0.000919732854296577,-0.000418889825190005,-0.000777745972527525,-0.0009308844283893,-0.000767323840455202,-0.000411885377253182,-0.000973206839524078,-0.000875507199643931,-0.000535655720838797,-0.00104028558494804,-0.00124066499025072,-0.141638347712364,0.000754651096553433,-0.430229778700279,-0.115776243643407,-0.0884666270405294,0.0592128867094258
"EMBARAZO",-0.154703872130086,2.25231667025832,3.02599668637203,23.6422802832229,8.24236619100728,3.31649662885674,9.26552201849533,2.04765380677884,5.91228621894461,4.34606262753577,30611.4429624574,-194.758621994734,-1.56739733585951,28.0365844242408,0.0371058258693817,2255.75784880359,11.1401785499452,4.73271413195282,5.29776896183064,5.46361214023687,4.94785877871292,4.82914621731981,6.37608274716403,4.80551419553974,5.26181588001424,4.91011237943544,3.78808944360044,-21.2491089794936,-1.58022353895975,-2.51896964723571,-0.454749447641908,-0.570399561323985,-194.767415886294
"HABLA_LENGUA_INDIG",0.21529299790854,3.60078537890599,-3.56458942131541,0.111689648624907,-2.97525787014908,-3.65442597872653,-14.4613632163168,-0.150083155937444,15.0805101835137,15.3758492652712,-1170.26322959112,14.2892262944093,0.00257812658152172,-4.16416486899673,0.000919732854296577,11.1401785499452,260.925322307062,2.26520597093738,2.4143599017393,2.22715315663676,2.33858640855113,2.4453024413696,3.1139234704349,2.43663287520595,2.21611106968988,2.41148285579026,2.43120665425305,-72.1278287618731,0.266782451742696,-0.798380914567314,-0.0382041313459784,0.0158115649199745,14.3002177371008
"DIABETES",0.059494537365157,0.473907295412778,-0.566518356746371,0.0346305971698932,-0.476400621911656,-0.628666978641464,-0.144143202131081,0.0354871001666927,-0.46993563476236,-0.36377816146892,504.591200674646,-3.40810852504089,-0.0194405567956894,0.383983481624448,-0.000418889825190005,4.73271413195282,2.26520597093738,35.5093005085388,28.1128968104148,28.5280440987644,28.6638533630608,29.0185865879215,28.2631690739078,28.3302398558576,25.464408154369,27.7366491205941,26.9505206638659,3.70975928467743,-0.0422498836419947,-0.0381408024948574,-0.0189959025148563,-0.00155045341059695,-3.39773552847644
"EPOC",0.0420006262309864,0.325809963886306,-0.592766804126236,0.0402073188404025,-0.489971259263278,-0.636273356102864,-0.13996750593569,0.0570816153433004,-0.703565714213017,-0.630350546657947,1093.34023912207,-5.45928653977707,-0.0409624938475833,1.56943590306736,-0.000777745972527525,5.29776896183064,2.4143599017393,28.1128968104148,32.2752321428461,29.2066907483869,29.3141413552356,28.2028204390689,28.9597150165346,28.9456442671908,25.8632109846204,28.4135876404536,27.4818825481937,5.45081634961245,-0.0590619933237065,-0.0156565951111778,-0.00902979645145782,-0.0190071208453219,-5.44537646098492
"ASMA",0.0421267862059078,0.351277822641034,-0.603556076178436,0.0416197276741674,-0.497995299287389,-0.643141673778105,-0.165082963327845,0.0664217069185605,-0.864333671506022,-0.782255689217655,1179.73333859547,-6.34713602598146,-0.0469490635918986,2.03467928267183,-0.0009308844283893,5.46361214023687,2.22715315663676,28.5280440987644,29.2066907483869,31.9268983423899,30.0449980734923,28.4573193062824,29.2245319101301,29.2986988741471,26.3424581267269,28.7995805235732,27.9614581631238,5.56197983344726,-0.0665680626056097,-0.00789856518099838,-0.00722409037435218,-0.0182033340196889,-6.33605758788437
